Designator,Mid X,Mid Y,Rotation,Layer
D1,132.08,-86.36,0.0,bottom
D2,172.72,-86.36,0.0,bottom
J1,142.24,-99.695,0.0,bottom
J2,162.56,-99.695,0.0,bottom
R1,171.958,-90.424,0.0,bottom
